time,open,high,low,close,tick_volume,spread,real_volume
2025-04-08 11:30:00,3008.73,3009.01,3003.53,3007.33,1830,20,0
2025-04-08 11:45:00,3007.35,3008.06,3004.26,3007.36,1623,20,0
2025-04-08 12:00:00,3007.34,3007.34,3002.33,3003.01,1915,20,0
2025-04-08 12:15:00,3002.83,3003.16,2994.74,2995.78,2294,20,0
2025-04-08 12:30:00,2995.81,3007.67,2995.8,3006.27,2724,20,0
2025-04-08 12:45:00,3006.18,3007.79,3003.14,3006.92,2191,20,0
2025-04-08 13:00:00,3006.93,3008.74,3004.01,3005.23,2410,20,0
2025-04-08 13:15:00,3005.2,3008.79,3004.58,3007.97,2088,20,0
2025-04-08 13:30:00,3008.05,3009.93,3005.39,3008.07,1648,20,0
2025-04-08 13:45:00,3008.05,3010.24,3006.94,3008.88,1648,20,0
2025-04-08 14:00:00,3008.82,3011.77,3008.61,3011.3,2512,20,0
2025-04-08 14:15:00,3011.3,3014.2,3010.35,3010.53,1954,20,0
2025-04-08 14:30:00,3010.57,3013.48,3008.86,3009.23,1734,20,0
2025-04-08 14:45:00,3009.19,3019.35,3009.06,3017.34,3255,20,0
2025-04-08 15:00:00,3017.33,3019.44,3014.24,3017.42,3526,20,0
2025-04-08 15:15:00,3017.41,3017.41,3003.3,3009.62,4637,20,0
2025-04-08 15:30:00,3009.23,3012.97,3006.63,3007.0,3544,20,0
2025-04-08 15:45:00,3007.01,3008.63,3002.35,3002.46,2864,20,0
2025-04-08 16:00:00,3002.53,3020.48,3002.5,3018.51,5024,20,0
2025-04-08 16:15:00,3018.89,3022.64,3013.28,3013.58,5131,20,0
2025-04-08 16:30:00,3013.56,3017.12,3006.32,3006.82,6495,20,0
2025-04-08 16:45:00,3006.81,3011.86,3003.92,3009.96,6631,20,0
2025-04-08 17:00:00,3010.1,3018.03,3009.03,3011.43,6751,20,0
2025-04-08 17:15:00,3011.44,3014.77,3008.34,3012.47,4877,20,0
2025-04-08 17:30:00,3012.49,3017.6,3010.15,3013.95,4897,20,0
2025-04-08 17:45:00,3014.09,3018.25,3005.91,3006.07,4438,20,0
2025-04-08 18:00:00,3006.06,3007.89,3002.47,3004.5,4704,20,0
2025-04-08 18:15:00,3004.55,3009.99,3004.37,3007.75,4037,20,0
2025-04-08 18:30:00,3007.84,3012.29,3004.72,3005.02,3249,20,0
2025-04-08 18:45:00,3005.07,3006.33,3001.21,3001.47,3374,20,0
2025-04-08 19:00:00,3001.4,3001.49,2994.4,2999.43,3729,20,0
2025-04-08 19:15:00,2999.43,2999.58,2992.39,2994.69,3597,20,0
2025-04-08 19:30:00,2994.72,2995.99,2985.14,2985.51,4751,20,0
2025-04-08 19:45:00,2985.34,2990.9,2984.36,2986.06,4858,20,0
2025-04-08 20:00:00,2986.07,2986.4,2976.46,2981.23,5025,20,0
2025-04-08 20:15:00,2981.24,2984.21,2975.31,2976.51,5318,20,0
2025-04-08 20:30:00,2976.44,2983.73,2974.77,2983.34,5070,20,0
2025-04-08 20:45:00,2983.33,2987.45,2981.75,2985.12,4244,20,0
2025-04-08 21:00:00,2985.11,2985.63,2979.26,2980.52,3868,20,0
2025-04-08 21:15:00,2980.46,2985.91,2979.86,2985.7,2786,20,0
2025-04-08 21:30:00,2985.73,2992.3,2985.73,2986.64,4220,20,0
2025-04-08 21:45:00,2986.64,2988.12,2981.53,2983.5,3097,20,0
2025-04-08 22:00:00,2983.44,2987.5,2981.63,2982.4,2884,20,0
2025-04-08 22:15:00,2982.4,2982.84,2977.97,2981.3,3699,20,0
2025-04-08 22:30:00,2981.3,2982.88,2976.58,2981.8,3358,20,0
2025-04-08 22:45:00,2981.8,2987.37,2980.76,2984.82,4120,20,0
2025-04-08 23:00:00,2984.82,2986.54,2980.37,2980.37,1507,20,0
2025-04-08 23:15:00,2980.41,2980.69,2977.04,2980.67,1603,20,0
